name,total_price,compatible_drinks,cutlery,temperature,healthLabels,dietLabels,ingredients,taste,kcal,style,course_type,complexity,season,type
Garden-Fresh Tomato Soup,28.0,"[red wine, white wine]",[spoon],hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],"['butter', 'flour', 'garlic', 'oil', 'onion', 'pepper', 'salt', 'sugar']","[salty, fatty]",3474.1288165,sibarita,starter,low,['summer'],soup
Pepperoni Hopple-Popple 5,21.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, gluten-free, wheat-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, immuno-supportive]",[low-carb],"['butter', 'egg', 'milk', 'onion', 'pepper', 'salt']","[fatty, salty]",1712.7891461083334,sibarita,main_course,low,"['spring', 'summer', 'autumn', 'winter']",meat
Chicken Creole Deviled Eggs 4,21.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, paleo, dairy-free, gluten-free, wheat-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-carb],"['onion', 'parsley']",[fatty],1004.254,sibarita,main_course,medium,['spring'],egg
Turkey Meatballs Braised in Tomato Sauce,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[dairy-free, gluten-free, wheat-free, peanut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]","[high-fiber, low-carb]","['carrots', 'egg', 'garlic', 'oil', 'pepper', 'salt']","[salty, sour, umami]",3753.802495634317,sibarita,main_course,high,['summer'],poultry
Mississippi Mud Pie,28.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'cream', 'egg', 'sugar', 'vanilla']",[fatty],3544.801587924284,regional,dessert,low,['winter'],cream
Muscovado Carrot Cake,35.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'carrots', 'cinnamon', 'egg', 'flour', 'leavening']","[fatty, salty]",6495.5019821605765,fusion,dessert,high,['autumn'],vegetable
Best Ever Banana Bread 4,56.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['egg', 'flour', 'leavening', 'oil', 'salt', 'sugar', 'vanilla']","[sweet, fatty, salty]",4006.371000016635,sibarita,starter,low,['spring'],bread
Meatballs with Pomegranate Glaze,77.0,"[red wine, white wine]","[fork, knife]",hot,"[peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],"['egg', 'milk', 'onion', 'parsley', 'salt', 'water']","[salty, umami, fatty]",6765.535052899486,regional,main_course,medium,['autumn'],meat
Turkey Meatballs with Vegetable Sauce,14.0,"[red wine, white wine]","[fork, knife]",hot,"[mediterranean, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],['egg'],"[salty, sweet]",1839.5976982562504,fusion,main_course,medium,['winter'],vegetable
Apple Pie,35.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'flour', 'milk', 'sugar']",[fatty],3202.451499998558,modern,dessert,low,['spring'],fruit
